SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400524,2025-02-19T00:00:00,LAL vs. CHA,L,18.133333333333333,4,5,0.8,0,0,0.0,0,0,0.0,1,3,4,0,1,2,0,0,2,2,8,12,17.8,0,0,16.0,1,32,32,32,23,4,10,16,1,4,1,28,30,28,20,19,21,28,10,3,29,1,14,12,14,8,22,3,1,21,1,18:08
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400781,2025-02-12T00:00:00,LAL @ UTA,L,7.466666666666667,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,0,1,1,4,2,10.9,0,0,9.0,1,32,32,32,43,24,31,1,1,4,1,28,30,28,20,32,33,15,24,20,14,1,5,22,30,25,37,3,1,37,1,7:28
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400768,2025-02-10T00:00:00,LAL vs. UTA,W,23.283333333333335,6,6,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,3,1,0,3,0,12,12,29.4,0,0,24.0,1,1,1,1,16,3,5,1,1,4,1,28,30,28,36,25,33,8,24,1,14,1,26,38,3,8,6,3,1,6,1,23:17
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400742,2025-02-08T00:00:00,LAL vs. IND,W,29.19,4,4,1.0,0,0,0.0,1,2,0.5,3,9,12,2,0,0,2,0,2,3,9,3,32.4,0,0,27.0,1,1,1,1,5,4,19,1,1,4,1,19,11,19,2,1,1,8,24,20,3,1,14,9,9,23,3,3,1,5,1,29:11
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400731,2025-02-06T00:00:00,LAL vs. GSW,W,24.983333333333334,4,6,0.667,0,0,0.0,3,4,0.75,1,2,3,2,0,1,1,0,3,4,11,7,23.6,0,0,20.0,1,1,1,1,11,4,5,24,1,4,1,3,4,12,20,25,26,8,24,6,14,1,26,6,5,15,12,3,1,11,1,24:59
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400715,2025-02-04T00:00:00,LAL @ LAC,W,23.8,3,6,0.5,0,0,0.0,0,1,0.0,2,4,6,4,1,1,2,1,2,1,6,14,27.2,0,0,22.0,1,1,1,1,14,14,5,33,1,4,1,28,28,28,8,14,13,1,10,6,3,38,14,22,21,6,7,3,1,7,1,23:48
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400692,2025-02-01T00:00:00,LAL @ NYK,W,21.595,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,1,2,3,1,0,2,0,4,5,17.9,0,0,15.0,1,1,1,1,18,24,31,1,1,4,1,28,30,28,36,25,33,15,3,1,14,1,14,38,30,17,21,3,1,24,1,21:36
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400674,2025-01-30T00:00:00,LAL @ WAS,W,25.133333333333333,4,4,1.0,0,0,0.0,2,2,1.0,2,8,10,2,3,0,3,0,4,2,10,26,31.0,1,0,28.0,1,1,1,1,10,4,19,1,1,4,1,8,11,1,8,3,3,8,1,20,2,1,36,12,6,1,4,1,1,4,1,25:08
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400660,2025-01-28T00:00:00,LAL @ PHI,L,18.766666666666666,1,1,1.0,0,0,0.0,2,2,1.0,1,2,3,0,1,0,2,0,4,4,4,-19,12.6,0,0,11.0,1,32,32,32,22,38,40,1,1,4,1,8,11,1,20,25,26,28,10,20,3,1,36,6,30,44,34,3,1,33,1,18:46
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400648,2025-01-27T00:00:00,LAL @ CHA,W,16.7,4,5,0.8,0,1,0.0,1,1,1.0,0,0,0,1,2,2,2,0,1,1,9,-9,20.5,0,0,18.0,1,1,1,1,28,4,10,16,1,1,1,19,28,1,36,41,44,15,3,3,3,1,5,22,9,38,16,3,1,16,1,16:42
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400644,2025-01-25T00:00:00,LAL @ GSW,W,11.743333333333334,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,1,1,0,0,0,1,1,0,-8,4.1,0,0,4.0,1,1,1,1,39,41,43,41,1,4,1,28,30,28,8,32,26,15,10,20,29,1,5,22,43,36,43,3,1,42,1,11:45
2024-25,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,Los Angeles Lakers,22400629,2025-01-23T00:00:00,LAL vs. BOS,W,14.483333333333333,2,4,0.5,0,0,0.0,1,2,0.5,1,7,8,1,0,0,0,0,0,1,5,14,16.1,0,0,14.0,1,1,1,1,33,24,19,33,1,4,1,19,11,19,20,6,7,15,24,20,29,1,1,22,27,6,28,3,1,26,1,14:29
